fighter,weight_class,elo,record,fights,wins,losses,draws,win_rate,finish_rate,last_fight,rank
Aljamain Sterling,Bantamweight,1674.1,14-4-0,18,14,4,0,77.8,42.9,2023-08-19,1
TJ Dillashaw,Bantamweight,1671.1,13-4-0,17,13,4,0,76.5,61.5,2022-10-22,2
Merab Dvalishvili,Bantamweight,1667.3,13-3-0,16,13,3,0,81.2,15.4,2025-12-06,3
Petr Yan,Bantamweight,1648.6,12-4-0,16,12,4,0,75.0,33.3,2025-12-06,4
Sean O'Malley,Bantamweight,1646.1,11-3-1,15,11,3,1,73.3,54.5,2026-01-24,5
Mario Bautista,Bantamweight,1634.0,11-3-0,14,11,3,0,78.6,45.5,2026-02-07,6
Montel Jackson,Bantamweight,1615.0,9-3-0,12,9,3,0,75.0,44.4,2025-10-11,7
Umar Nurmagomedov,Bantamweight,1614.0,7-1-0,8,7,1,0,87.5,28.6,2026-01-24,8
Cory Sandhagen,Bantamweight,1613.9,9-5-0,14,9,5,0,64.3,66.7,2025-10-04,9
Marlon Vera,Bantamweight,1602.8,13-9-0,22,13,9,0,59.1,76.9,2025-10-18,10
Urijah Faber,Bantamweight,1600.4,11-6-0,17,11,6,0,64.7,63.6,2019-12-14,11
Song Yadong,Bantamweight,1599.5,9-4-1,14,9,4,1,64.3,55.6,2026-01-24,12
Aiemann Zahabi,Bantamweight,1593.1,7-2-0,9,7,2,0,77.8,28.6,2025-10-18,13
Rob Font,Bantamweight,1590.2,11-7-0,18,11,7,0,61.1,63.6,2025-09-13,14
John Lineker,Bantamweight,1587.1,6-2-0,8,6,2,0,75.0,50.0,2019-04-27,15
Farid Basharat,Bantamweight,1586.8,5-0-0,5,5,0,0,100.0,20.0,2026-02-07,16
Raoni Barcelos,Bantamweight,1586.0,9-4-0,13,9,4,0,69.2,33.3,2025-11-08,17
Daniel Marcos,Bantamweight,1581.7,5-1-1,7,5,1,1,71.4,40.0,2025-11-08,18
Payton Talbott,Bantamweight,1580.5,5-1-0,6,5,1,0,83.3,60.0,2025-12-06,19
Erik Perez,Bantamweight,1580.4,7-2-0,9,7,2,0,77.8,42.9,2016-11-05,20
Raul Rosas Jr.,Bantamweight,1577.5,5-1-0,6,5,1,0,83.3,60.0,2025-03-29,21
Kyung Ho Kang,Bantamweight,1576.9,8-4-1,13,8,4,1,61.5,50.0,2024-06-22,22
Alejandro Perez,Bantamweight,1571.1,8-3-1,12,8,3,1,66.7,50.0,2021-10-02,23
Ricky Simon,Bantamweight,1567.5,9-6-0,15,9,6,0,60.0,55.6,2025-11-08,24
Dominick Cruz,Bantamweight,1567.2,7-3-0,10,7,3,0,70.0,14.3,2022-08-13,25
Manny Bermudez,Bantamweight,1564.5,3-0-0,3,3,0,0,100.0,100.0,2019-02-17,26
Rani Yahya,Bantamweight,1563.3,9-4-2,15,9,4,2,60.0,66.7,2024-04-27,27
Jonathan Martinez,Bantamweight,1562.8,8-5-0,13,8,5,0,61.5,50.0,2024-11-16,28
Jack Shore,Bantamweight,1562.0,5-1-0,6,5,1,0,83.3,40.0,2022-07-16,29
Brett Johns,Bantamweight,1560.0,5-2-0,7,5,2,0,71.4,40.0,2020-07-18,30
Nathaniel Wood,Bantamweight,1558.6,4-1-0,5,4,1,0,80.0,75.0,2020-07-25,31
Adrian Yanez,Bantamweight,1558.4,6-3-0,9,6,3,0,66.7,83.3,2024-12-14,32
Said Nurmagomedov,Bantamweight,1558.1,6-4-0,10,6,4,0,60.0,83.3,2025-07-26,33
Christian Rodriguez,Bantamweight,1556.9,3-0-0,3,3,0,0,100.0,33.3,2023-10-14,34
Kyler Phillips,Bantamweight,1556.4,6-3-0,9,6,3,0,66.7,33.3,2025-07-19,35
Vinicius Oliveira,Bantamweight,1555.4,4-1-0,5,4,1,0,80.0,25.0,2026-02-07,36
Marco Beltran,Bantamweight,1555.3,3-0-0,3,3,0,0,100.0,33.3,2016-07-07,37
Taylor Lapilus,Bantamweight,1553.9,5-2-0,7,5,2,0,71.4,20.0,2024-09-28,38
Rinya Nakamura,Bantamweight,1553.4,4-1-0,5,4,1,0,80.0,50.0,2025-08-02,39
Chris Gutierrez,Bantamweight,1552.2,7-4-1,12,7,4,1,58.3,28.6,2025-10-04,40
Marcus McGhee,Bantamweight,1550.4,3-1-0,4,3,1,0,75.0,66.7,2025-07-26,41
Brady Hiestand,Bantamweight,1549.6,3-1-0,4,3,1,0,75.0,66.7,2024-06-15,42
SuYoung You,Bantamweight,1546.2,3-0-0,3,3,0,0,100.0,0.0,2025-08-23,43
Cody Garbrandt,Bantamweight,1545.9,8-6-0,14,8,6,0,57.1,62.5,2025-06-14,44
Da'Mon Blackshear,Bantamweight,1545.4,5-4-1,10,5,4,1,50.0,80.0,2025-07-26,45
Michael McDonald,Bantamweight,1544.3,6-3-0,9,6,3,0,66.7,66.7,2016-07-13,46
Ricardo Ramos,Bantamweight,1543.2,4-1-0,5,4,1,0,80.0,25.0,2019-06-29,47
Deiveson Figueiredo,Bantamweight,1541.6,4-3-0,7,4,3,0,57.1,25.0,2026-01-24,48
Raphael Assuncao,Bantamweight,1540.8,12-6-0,18,12,6,0,66.7,25.0,2023-03-11,49
Jean Matsumoto,Bantamweight,1540.5,3-1-0,4,3,1,0,75.0,33.3,2026-02-07,50
Pedro Munhoz,Bantamweight,1537.7,10-10-2,22,10,10,2,45.5,60.0,2024-11-02,51
Victor Henry,Bantamweight,1537.4,4-2-1,7,4,2,1,57.1,25.0,2025-04-05,52
Bryan Caraway,Bantamweight,1536.2,5-4-0,9,5,4,0,55.6,60.0,2018-11-30,53
John Castaneda,Bantamweight,1535.2,3-2-0,5,3,2,0,60.0,66.7,2024-06-08,54
Davey Grant,Bantamweight,1534.6,8-7-0,15,8,7,0,53.3,50.0,2025-10-18,55
Alatengheili,Bantamweight,1533.8,5-3-1,9,5,3,1,55.6,20.0,2025-04-26,56
Aoriqileng,Bantamweight,1533.2,4-2-1,7,4,2,1,57.1,50.0,2025-10-18,57
Jimmie Rivera,Bantamweight,1532.4,6-4-0,10,6,4,0,60.0,16.7,2021-02-27,58
Renan Barao,Bantamweight,1532.1,8-5-0,13,8,5,0,61.5,62.5,2019-02-17,59
Chris Cariaso,Bantamweight,1531.4,3-1-0,4,3,1,0,75.0,0.0,2012-02-25,60
Iuri Alcantara,Bantamweight,1529.8,8-6-1,15,8,6,1,53.3,62.5,2018-08-25,61
John Dodson,Bantamweight,1529.6,5-5-0,10,5,5,0,50.0,60.0,2020-08-15,62
Jose Aldo,Bantamweight,1527.9,4-4-0,8,4,4,0,50.0,0.0,2024-10-05,63
Javid Basharat,Bantamweight,1522.9,4-2-1,7,4,2,1,57.1,0.0,2026-02-07,64
Tom Duquesnoy,Bantamweight,1522.0,2-1-0,3,2,1,0,66.7,50.0,2018-03-17,65
Ronnie Lawrence,Bantamweight,1521.8,2-1-1,4,2,1,1,50.0,50.0,2023-06-17,66
Ivan Menjivar,Bantamweight,1521.1,4-3-0,7,4,3,0,57.1,75.0,2013-09-21,67
Saidyokub Kakhramonov,Bantamweight,1520.6,2-1-0,3,2,1,0,66.7,50.0,2022-12-17,68
ChangHo Lee,Bantamweight,1520.0,2-1-0,3,2,1,0,66.7,50.0,2025-11-01,69
Douglas Silva de Andrade,Bantamweight,1519.8,5-4-0,9,5,4,0,55.6,60.0,2024-06-15,70
Henry Cejudo,Bantamweight,1519.2,3-4-0,7,3,4,0,42.9,66.7,2025-12-06,71
Serhiy Sidey,Bantamweight,1518.0,2-1-0,3,2,1,0,66.7,0.0,2025-05-03,72
Tony Kelley,Bantamweight,1517.4,2-1-0,3,2,1,0,66.7,50.0,2022-06-18,73
Miles Johns,Bantamweight,1516.8,6-4-1,11,6,4,1,54.5,33.3,2025-11-08,74
Hunter Azure,Bantamweight,1515.8,2-1-0,3,2,1,0,66.7,0.0,2021-04-10,75
Demetrious Johnson,Bantamweight,1515.3,2-1-0,3,2,1,0,66.7,0.0,2011-10-01,76
Thomas Almeida,Bantamweight,1511.8,5-4-0,9,5,4,0,55.6,80.0,2021-03-27,77
Sergio Pettis,Bantamweight,1510.8,3-2-0,5,3,2,0,60.0,0.0,2018-12-15,78
Casey Kenney,Bantamweight,1510.5,3-3-0,6,3,3,0,50.0,33.3,2021-08-07,79
