elo_category,opening_name,white_wins,black_wins,draws,total_games,white_win_rate,black_win_rate,draw_rate
Beginner (<1200),Bishop's Opening,77.0,111.0,2.0,190,0.4052631578947368,0.5842105263157895,0.010526315789473684
Beginner (<1200),Caro-Kann Defense,187.0,225.0,6.0,418,0.4473684210526316,0.5382775119617225,0.014354066985645933
Beginner (<1200),Caro-Kann Defense: Exchange Variation,60.0,45.0,2.0,107,0.5607476635514018,0.4205607476635514,0.018691588785046728
Beginner (<1200),Englund Gambit,82.0,67.0,2.0,151,0.543046357615894,0.44370860927152317,0.013245033112582781
Beginner (<1200),Four Knights Game: Italian Variation,170.0,171.0,7.0,348,0.4885057471264368,0.49137931034482757,0.020114942528735632
Beginner (<1200),French Defense,47.0,58.0,1.0,106,0.44339622641509435,0.5471698113207547,0.009433962264150943
Beginner (<1200),French Defense: Advance Variation,36.0,64.0,2.0,102,0.35294117647058826,0.6274509803921569,0.0196078431372549
Beginner (<1200),French Defense: Knight Variation,117.0,111.0,7.0,235,0.4978723404255319,0.4723404255319149,0.029787234042553193
Beginner (<1200),Horwitz Defense,115.0,70.0,5.0,190,0.6052631578947368,0.3684210526315789,0.02631578947368421
Beginner (<1200),Hungarian Opening,73.0,62.0,2.0,137,0.5328467153284672,0.45255474452554745,0.014598540145985401
Beginner (<1200),Indian Defense,83.0,86.0,5.0,174,0.47701149425287354,0.4942528735632184,0.028735632183908046
Beginner (<1200),Italian Game,78.0,49.0,3.0,130,0.6,0.3769230769230769,0.023076923076923078
Beginner (<1200),Italian Game: Anti-Fried Liver Defense,77.0,66.0,5.0,148,0.5202702702702703,0.44594594594594594,0.033783783783783786
Beginner (<1200),Italian Game: Giuoco Piano,69.0,58.0,3.0,130,0.5307692307692308,0.4461538461538462,0.023076923076923078
Beginner (<1200),Italian Game: Paris Defense,62.0,51.0,0.0,113,0.5486725663716814,0.45132743362831856,0.0
Beginner (<1200),"Italian Game: Two Knights Defense, Modern Bishop's Opening",48.0,51.0,3.0,102,0.47058823529411764,0.5,0.029411764705882353
Beginner (<1200),King's Knight Opening: Normal Variation,44.0,64.0,2.0,110,0.4,0.5818181818181818,0.01818181818181818
Beginner (<1200),King's Pawn Game: Busch-Gass Gambit,91.0,48.0,0.0,139,0.6546762589928058,0.34532374100719426,0.0
Beginner (<1200),King's Pawn Game: Damiano Defense,79.0,33.0,1.0,113,0.6991150442477876,0.2920353982300885,0.008849557522123894
Beginner (<1200),King's Pawn Game: Leonardis Variation,85.0,104.0,4.0,193,0.44041450777202074,0.538860103626943,0.02072538860103627
Beginner (<1200),King's Pawn Game: McConnell Defense,72.0,33.0,1.0,106,0.6792452830188679,0.3113207547169811,0.009433962264150943
Beginner (<1200),King's Pawn Game: Napoleon Attack,48.0,75.0,1.0,124,0.3870967741935484,0.6048387096774194,0.008064516129032258
Beginner (<1200),King's Pawn Game: Wayward Queen Attack,99.0,124.0,8.0,231,0.42857142857142855,0.5367965367965368,0.03463203463203463
Beginner (<1200),Modern Defense,107.0,93.0,4.0,204,0.5245098039215687,0.45588235294117646,0.0196078431372549
Beginner (<1200),Owen Defense,58.0,59.0,4.0,121,0.4793388429752066,0.48760330578512395,0.03305785123966942
Beginner (<1200),Philidor Defense,290.0,171.0,14.0,475,0.6105263157894737,0.36,0.029473684210526315
Beginner (<1200),Pirc Defense,150.0,145.0,7.0,302,0.4966887417218543,0.48013245033112584,0.023178807947019868
Beginner (<1200),Queen's Gambit Declined: Marshall Defense,52.0,50.0,2.0,104,0.5,0.4807692307692308,0.019230769230769232
Beginner (<1200),Queen's Pawn Game,262.0,283.0,14.0,559,0.46869409660107336,0.5062611806797853,0.025044722719141325
Beginner (<1200),Queen's Pawn Game: Accelerated London System,343.0,234.0,12.0,589,0.5823429541595926,0.39728353140916806,0.02037351443123939
Beginner (<1200),Queen's Pawn Game: Chigorin Variation,182.0,183.0,13.0,378,0.48148148148148145,0.48412698412698413,0.03439153439153439
Beginner (<1200),Queen's Pawn Game: Zukertort Variation,69.0,46.0,5.0,120,0.575,0.38333333333333336,0.041666666666666664
